State,District,Confirmed,Recovered,Deceased,Zone,Age Bracket,Transmission Type,Population Density,Transmission rate,Deceased Rate,Predictions
Andhra Pradesh,Anantapur,67374,66641,597,Orange Zone,Children or adolescent,Local,191,Very High,2,1
Andhra Pradesh,Chittoor,86248,85087,842,Red Zone,Children or adolescent,Local,191,Very High,3,1
Andhra Pradesh,East Godavari,123755,122747,636,Orange Zone,Children or adolescent,Local,191,Very High,2,1
Andhra Pradesh,Guntur,74830,73659,665,Red Zone,Children or adolescent,Local,191,Very High,2,1
Andhra Pradesh,Krishna,47871,46670,666,Red Zone,Children or adolescent,Local,191,High,2,1
Andhra Pradesh,Other State,60582,60030,487,Red Zone,Children or adolescent,Local,191,Very High,1,1
Andhra Pradesh,Other State,2461,2461,0,Orange Zone,Children or adolescent,Local,267,Normal,0,0
Chhattisgarh,Other State,459,338,55,Orange Zone,Children or adolescent,Local,267,Normal,0,0
Gujarat,Other State,162,159,3,Orange Zone,Children or adolescent,Local,267,Normal,0,0
Karnataka,Other State,36,33,3,Orange Zone,Children or adolescent,Local,267,Normal,0,0
Maharashtra,Other State,855,0,69,Orange Zone,Children or adolescent,Local,267,Normal,0,0
Rajasthan,Other State,189,150,39,Orange Zone,Children or adolescent,Local,267,Normal,0,0
Tamil Nadu,Other State,0,0,3,Orange Zone,Children or adolescent,Local,267,Normal,0,0
West Bengal,Other State,66,63,3,Orange Zone,Children or adolescent,Local,267,Normal,0,0
Andhra Pradesh,Prakasam,62042,61373,579,Orange Zone,Children or adolescent,Local,191,Very High,2,1
Andhra Pradesh,S.P.S. Nellore,62110,61145,505,Orange Zone,Children or adolescent,Local,191,Very High,1,1
Andhra Pradesh,Visakhapatnam,59228,58439,551,Orange Zone,Children or adolescent,Local,191,Very High,2,1
Andhra Pradesh,West Godavari,93893,93195,538,Orange Zone,Children or adolescent,Local,191,Very High,2,1
Andhra Pradesh,Y.S.R. Kadapa,55024,54367,461,Orange Zone,Children or adolescent,Local,191,Very High,1,1
Arunachal Pradesh,Papum Pare,6757,6695,29,Green Zone,Children or adolescent,Local,184,Normal,0,0
Bihar,Araria,7167,7108,22,Green Zone,Children or adolescent,Local,185,Normal,0,0
Bihar,Arwal,2326,2266,12,Orange Zone,Children or adolescent,Local,185,Normal,0,0
Bihar,Aurangabad,5195,5143,15,Orange Zone,Children or adolescent,Local,185,High,2,1
Maharashtra,Aurangabad,48032,46068,1213,Orange Zone,Children or adolescent,Local,185,High,2,1
Bihar,Banka,3462,3332,19,Orange Zone,Children or adolescent,Local,185,Normal,0,0
Bihar,Begusarai,7750,7579,34,Orange Zone,Children or adolescent,Local,185,Normal,0,0
Bihar,Bhagalpur,9388,9185,77,Orange Zone,Children or adolescent,Local,185,Normal,0,0
Bihar,Bhojpur,4984,4903,42,Orange Zone,Children or adolescent,Local,185,Normal,0,0
Bihar,Buxar,3976,3926,18,Red Zone,Children or adolescent,Local,185,Normal,0,1
Bihar,Darbhanga,4056,3974,32,Orange Zone,Children or adolescent,Local,185,Normal,0,0
Bihar,East Champaran,8334,8224,50,Orange Zone,Children or adolescent,Local,185,Normal,0,0
Bihar,Gaya,7792,7631,60,Red Zone,Children or adolescent,Local,185,Normal,0,1
Bihar,Gopalganj,5728,5676,15,Orange Zone,Children or adolescent,Local,185,Normal,0,0
Bihar,Jamui,3147,3114,10,Green Zone,Children or adolescent,Local,185,Normal,0,0
Bihar,Jehanabad,4496,4399,20,Orange Zone,Children or adolescent,Local,185,Normal,0,0
Bihar,Kaimur,2099,2037,10,Orange Zone,Children or adolescent,Local,185,Normal,0,0
