State,District,Confirmed,Recovered,Deceased,Zone,Age Bracket,Transmission Type,Population Density,Predictions
Andhra Pradesh,Anantapur,67374,66641,597,1,2,1,191,4
Andhra Pradesh,Chittoor,86248,85087,842,0,2,1,191,0
Andhra Pradesh,East Godavari,123755,122747,636,1,2,1,191,4
Andhra Pradesh,Guntur,74830,73659,665,0,2,1,191,0
Andhra Pradesh,Krishna,47871,46670,666,0,2,1,191,0
Andhra Pradesh,Kurnool,60582,60030,487,0,2,1,191,0
Andhra Pradesh,Other State,2461,2461,0,1,2,1,267,4
Chhattisgarh,Other State,459,338,55,1,2,1,267,4
Gujarat,Other State,162,159,3,1,2,1,267,4
Karnataka,Other State,36,33,3,1,2,1,267,4
Maharashtra,Other State,855,0,69,1,2,1,267,4
Rajasthan,Other State,189,150,39,1,2,1,267,4
Tamil Nadu,Other State,0,0,3,1,2,1,267,4
West Bengal,Other State,66,63,3,1,2,1,267,4
Andhra Pradesh,Prakasam,62042,61373,579,1,2,1,191,4
Andhra Pradesh,S.P.S. Nellore,62110,61145,505,1,2,1,191,4
Andhra Pradesh,Visakhapatnam,59228,58439,551,1,2,1,191,4
Andhra Pradesh,West Godavari,93893,93195,538,1,2,1,191,4
Andhra Pradesh,Y.S.R. Kadapa,55024,54367,461,1,2,1,191,4
Arunachal Pradesh,Papum Pare,6757,6695,29,2,2,1,184,1
Bihar,Araria,7167,7108,22,2,2,1,185,1
Bihar,Arwal,2326,2266,12,1,2,1,185,4
Bihar,Aurangabad,5195,5143,15,1,2,1,185,4
Maharashtra,Aurangabad,48032,46068,1213,1,2,1,185,4
Bihar,Banka,3462,3332,19,1,2,1,185,4
Bihar,Begusarai,7750,7579,34,1,2,1,185,4
Bihar,Bhagalpur,9388,9185,77,1,2,1,185,4
Bihar,Bhojpur,4984,4903,42,1,2,1,185,4
Bihar,Buxar,3976,3926,18,0,2,1,185,0
Bihar,Darbhanga,4056,3974,32,1,2,1,185,4
Bihar,East Champaran,8334,8224,50,1,2,1,185,4
Bihar,Gaya,7792,7631,60,0,2,1,185,0
Bihar,Gopalganj,5728,5676,15,1,2,1,185,4
Bihar,Jamui,3147,3114,10,2,2,1,185,1
Bihar,Jehanabad,4496,4399,20,1,2,1,185,4
Bihar,Kaimur,2099,2037,10,1,2,1,185,4
Bihar,Katihar,7183,7106,12,2,2,1,185,1
Bihar,Khagaria,3071,3044,12,2,2,1,185,1
Bihar,Kishanganj,4289,4155,13,2,2,1,185,1
Bihar,Lakhisarai,3731,3575,9,1,2,1,185,4
Bihar,Madhepura,4826,4773,17,1,2,1,185,4
Bihar,Madhubani,7613,7550,33,1,2,1,185,4
